vid,date
s91-111.2009,2009-03-10
h301-111.2009,2009-06-04
h422-111.2009,2009-06-23
h456-111.2009,2009-06-25
h507-111.2009,2009-07-09
h500-111.2009,2009-07-09
h529-111.2009,2009-07-10
h657-111.2009,2009-07-29
h665-111.2009,2009-07-30
s364-111.2009,2009-12-05
h962-111.2009,2009-12-11
s380-111.2009,2009-12-17
s13-111.2010,2010-01-28
s26-111.2010,2010-02-25
s115-111.2010,2010-04-15
h218-111.2010,2010-04-22
h275-111.2010,2010-05-18
s175-111.2010,2010-05-27
h361-111.2010,2010-06-15
h453-111.2010,2010-07-20
h560-111.2010,2010-09-29
s247-111.2010,2010-09-29
h92-112.2011,2011-02-18
h101-112.2011,2011-02-18
h222-112.2011,2011-04-01
h245-112.2011,2011-04-07
h563-112.2011,2011-07-12
h579-112.2011,2011-07-14
h594-112.2011,2011-07-15
s131-112.2011,2011-09-12
s158-112.2011,2011-10-11
h783-112.2011,2011-10-12
h818-112.2011,2011-11-02
s199-112.2011,2011-11-08
h869-112.2011,2011-11-30
s235-112.2011,2011-12-17
h28-112.2012,2012-02-02
s17-112.2012,2012-02-09
s73-112.2012,2012-04-24
s110-112.2012,2012-05-24
h339-112.2012,2012-06-06
h506-112.2012,2012-07-25
h571-112.2012,2012-09-12
h621-112.2012,2012-12-12
h46-113.2013,2013-02-25
s31-113.2013,2013-03-07
h79-113.2013,2013-03-19
h246-113.2013,2013-06-17
h266-113.2013,2013-06-20
h382-113.2013,2013-07-23
h407-113.2013,2013-07-24
h10-113.2014,2014-01-09
h147-113.2014,2014-03-26
s125-113.2014,2014-05-01
h219-113.2014,2014-05-19
h228-113.2014,2014-05-21
h232-113.2014,2014-05-22
h436-113.2014,2014-07-22
h513-113.2014,2014-09-18
h47-114.2015,2015-01-27
h142-114.2015,2015-03-25
h175-114.2015,2015-04-28
h203-114.2015,2015-04-30
h323-114.2015,2015-06-09
s237-114.2015,2015-07-15
h489-114.2015,2015-07-29
h556-114.2015,2015-10-21
h648-114.2015,2015-12-01
h78-114.2016,2016-02-11
h367-114.2016,2016-07-06
h452-114.2016,2016-07-13
h545-114.2016,2016-09-22